__type;Title;Name;Description;Adress;latitude;longitude;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 21 RUE PONTOISE;;;21  RUE DE PONTOISE 75005 PARIS;48.8487275;2.3512113;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 24 RUE CARDINAL LEMOINE;;;24  RUE DU CARDINAL LEMOINE 75005 PARIS;48.848239;2.3532343;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 250 B RUE SAINT-JACQUES;;;250B  RUE SAINT-JACQUES 75005 PARIS;48.8438094;2.3416932;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 28 RUE SAINT-JACQUES;;;28  RUE SAINT-JACQUES 75005 PARIS;48.8513967;2.3458247;
VEMaps.PinData;MAIRIE DU 5E ARRONDISSEMENT;;;21  PLACE DU PANTHEON 75005 PARIS;48.8465518;2.3444932;
VEMaps.PinData;MAISON DES ASSOCIATIONS 4 RUE DES ARENES;;;4  RUE DES ARENES 75005 PARIS;48.845088;2.3542504;
VEMaps.PinData;ECOLE MATERNELLE 16 RUE SAINT-BENOIT;;;16  RUE SAINT-BENOIT 75006 PARIS;48.854822;2.3328985;
VEMaps.PinData;ECOLE MATERNELLE 39 RUE SAINT-ANDRE DES ARTS;;;39  RUE SAINT-ANDRE DES ARTS 75006 PARIS;48.8532887;2.3413316;
VEMaps.PinData;ECOLE MATERNELLE 40 RUE MADAME;;;40  RUE MADAME 75006 PARIS;48.8493024;2.3316207;
VEMaps.PinData;ECOLE MATERNELLE 6 RUE LITTRE;;;6  RUE LITTRE 75006 PARIS;48.8455047;2.3238075;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 42 RUE MADAME;;;42  RUE MADAME 75006 PARIS;48.8491555;2.3316399;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 6 RUE LITTRE;;;6  RUE LITTRE 75006 PARIS;48.8455047;2.3238075;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 7 RUE JARDINET;;;7  RUE DU JARDINET 75006 PARIS;48.8526538;2.3400269;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 9 RUE VAUGIRARD;;;9  RUE DE VAUGIRARD 75006 PARIS;48.8489345;2.3398368;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 12 RUE SAINT-BENOIT;;;12  RUE SAINT-BENOIT 75006 PARIS;48.8551627;2.3331475;
